Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Localidad nivel 4,Especie,Cantidad,Observaciones
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Ardea cinerea,4,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Bubulcus ibis,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Circus aeruginosus,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Egretta garzetta,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Gallinula chloropus,30,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Larus fuscus,35,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Limosa limosa,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Nycticorax nycticorax,35,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Calidris pugnax,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Platalea leucorodia,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Arrozal Isla Menor,Isla Menor,Porphyrio porphyrio,210,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,Anas platyrhynchos,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,Ciconia nigra,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,Egretta garzetta,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,Fulica atra,35,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,Hieraaetus pennatus,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Reboso,Porphyrio porphyrio,21,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Spatula clypeata,5,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Anas crecca,60,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Mareca penelope,4,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Anas platyrhynchos,130,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Ardea cinerea,9,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Calidris minuta,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Charadrius alexandrinus,5,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Ciconia nigra,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Circus aeruginosus,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Fulica atra,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Gallinago gallinago,4,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Gallinula chloropus,10,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Himantopus himantopus,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Limosa limosa,35,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Phalacrocorax carbo,16,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Calidris pugnax,10,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Platalea leucorodia,24,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Porphyrio porphyrio,47,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Convento,Recurvirostra avosetta,14,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,Spatula clypeata,90,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,Anas crecca,100,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,Anas platyrhynchos,365,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,Ardea cinerea,6,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Bomba de Pantomima,Tringa totanus,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Bomba de Pantomima,Recurvirostra avosetta,10,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Bomba de Pantomima,Porphyrio porphyrio,16,
